x	y	S2_B02_20160409	S2_B03_20160409	S2_B04_20160409	S2_B08_20160409	BG_20160409	BR_20160409	BNIR_20160409	GB_20160409	GR_20160409	GNIR_20160409	RB_20160409	RG_20160409	RNIR_20160409	NIRB_20160409	NIRG_20160409	NIRR_20160409	DEM	SLP	CS_curv	Long_curv	CI	FA	TWI	LSF	CNBL	VDCN	VD	RSP	MRVBF	MRRTF
565985.000000	5592265.000000	0.048100	0.059900	0.090100	0.145900	0.803005	0.533851	0.329678	1.245322	0.664817	0.410555	1.873181	1.504174	0.617546	3.033264	2.435726	1.619312	297.401215	2.841707	-0.000326	0.000859	-1.448938	3299.850586	8.267855	0.539069	240.597931	56.803295	0.062954	0.998891	1.492830	0.338287
565995.000000	5592265.000000	0.047300	0.057100	0.087700	0.144200	0.828371	0.539339	0.328017	1.207188	0.651083	0.395978	1.854122	1.535902	0.608183	3.048625	2.525394	1.644242	296.906769	3.168029	-0.000415	0.000780	-1.571586	3498.823242	8.216730	0.627921	240.322998	56.583778	0.153614	0.997290	1.349622	0.332285
566005.000000	5592265.000000	0.046100	0.056100	0.084500	0.141000	0.821747	0.545562	0.326950	1.216920	0.663905	0.397872	1.832972	1.506239	0.599291	3.058568	2.513369	1.668639	296.358276	3.438370	-0.000511	0.000620	-1.682249	3730.602051	8.197752	0.707010	240.053131	56.305134	0.286556	0.994933	1.189632	0.327335
566015.000000	5592265.000000	0.045600	0.056200	0.084500	0.143300	0.811388	0.539645	0.318214	1.232456	0.665089	0.392184	1.853070	1.503559	0.589672	3.142544	2.549822	1.695858	295.771271	3.599952	-0.000597	0.000399	-1.767279	3984.329102	8.216736	0.760045	239.787872	55.983383	0.451996	0.991987	1.061701	0.323893
566025.000000	5592265.000000	0.047700	0.057700	0.083300	0.145300	0.826690	0.572629	0.328286	1.209643	0.692677	0.397109	1.746331	1.443674	0.573297	3.046121	2.518198	1.744298	295.167053	3.654045	-0.000656	0.000157	-1.810382	4244.010254	8.264382	0.784549	239.526001	55.641045	0.631397	0.988776	0.993577	0.322433
566035.000000	5592265.000000	0.048800	0.059100	0.088800	0.148400	0.825719	0.549550	0.328841	1.211066	0.665541	0.398248	1.819672	1.502538	0.598383	3.040983	2.510998	1.671171	294.562103	3.637935	-0.000678	-0.000066	-1.802807	4489.399414	8.324596	0.788768	239.267502	55.294613	0.813568	0.985496	0.997356	0.322606
566045.000000	5592265.000000	0.048900	0.064400	0.098000	0.160300	0.759317	0.498980	0.305053	1.316973	0.657143	0.401747	2.004090	1.521739	0.611354	3.278119	2.489130	1.635714	293.965149	3.585736	-0.000665	-0.000231	-1.749047	4699.776367	8.384510	0.781151	239.013626	54.951519	0.991276	0.982277	1.024914	0.323722
566055.000000	5592265.000000	0.051500	0.066700	0.101700	0.164500	0.772114	0.506391	0.313070	1.295146	0.655851	0.405471	1.974757	1.524738	0.618237	3.194175	2.466267	1.617503	293.379913	3.512222	-0.000626	-0.000316	-1.669361	4860.856445	8.438648	0.765469	238.764862	54.615044	1.161812	0.979166	1.060566	0.325333
566065.000000	5592265.000000	0.049300	0.067100	0.099700	0.165700	0.734724	0.494484	0.297526	1.361055	0.673019	0.404949	2.022312	1.485842	0.601690	3.361055	2.469449	1.661986	292.808136	3.423096	-0.000583	-0.000322	-1.600333	4977.125977	8.487807	0.743725	238.520325	54.287796	1.322929	0.976207	1.118722	0.327148
566075.000000	5592265.000000	0.050600	0.066000	0.099100	0.164500	0.766667	0.510595	0.307599	1.304348	0.665994	0.401216	1.958498	1.501515	0.602432	3.250988	2.492424	1.659940	292.248535	3.338659	-0.000560	-0.000261	-1.584562	5084.587402	8.533865	0.722915	238.279572	53.968975	1.477341	0.973352	1.161441	0.328772
